place_id,name,address,phone,website,email,category,rating,review_count,latitude,longitude,scraped_at
ChIJ3957bJldlmsRbxiKdwBPc0s,NGU Real Estate Toowoomba,"Suite 3/13 Kitchener St, East Toowoomba QLD 4350, Australia",(07) 4659 9179,https://www.ngurealestate.com.au/,,Real Estate Agency,4.8,137,-27.5648153,151.960316,2026-02-13T22:48:27.624047
ChIJ5WRHh_3FJU8R538ha236ejw,GOOD. Real Estate,"5 Annand St, Toowoomba City QLD 4350, Australia",(07) 4588 6644,http://goodre.com.au/,,Real Estate Agency,5,50,-27.5619098,151.9542075,2026-02-13T22:48:28.473281
ChIJZ_MZzpldlmsRK1GqrVUxDOo,Raine & Horne Toowoomba Real Estate Agents,"Suite 2/202 Hume St, East Toowoomba QLD 4350, Australia",(07) 4632 6486,https://www.raineandhorne.com.au/toowoomba?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,,Real Estate Agency,5,225,-27.5684453,151.9568984,2026-02-13T22:48:28.874926
ChIJY8Zb1W1clmsRayXGe-RujyM,Toowoomba Property First National Real Estate,"611 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4595 1155,http://www.toowoombaproperty.au/,,Point Of Interest,4.6,418,-27.567284,151.952074,2026-02-13T22:48:29.213983
ChIJvYmwM3lclmsRWeN2feIIlqs,MyHouse Realty Toowoomba,"227B West St, Harristown QLD 4350, Australia",(07) 4635 2135,http://www.myhouserealtytoowoomba.com.au/,,Real Estate Agency,4.8,290,-27.5745604,151.9406499,2026-02-13T22:48:29.574875
ChIJO8uBLGFclmsRQyFsQzQWMf0,Success Realty Toowoomba | Real Estate Agents,"Shop 7/255 Herries St, Newtown QLD 4350, Australia",0448 171 823,https://www.successrealty.com.au/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile,,Real Estate Agency,3.9,64,-27.5617338,151.9374583,2026-02-13T22:48:30.446561
ChIJtcODpK9dlmsRiK308n1ZVso,Reilly Real Estate,"Southtown Shopping Centre, Shop 2A, 148 South St, Centenary Heights QLD 4350, Australia",(07) 4602 9976,https://www.reillyre.com.au/,,Real Estate Agency,5,59,-27.5804954,151.9639636,2026-02-13T22:48:31.245214
ChIJEdq53WxclmsRVYRyRKsu1dg,The Agency | Toowoomba,"196 Margaret St, Toowoomba City QLD 4350, Australia",(07) 4616 9900,https://theagency.com.au/market-appraisal?utm_source=Google&utm_medium=Organic&utm_campaign=GMB&utm_term=Toowoomba,,Real Estate Agency,4.7,345,-27.5612571,151.9539394,2026-02-13T22:48:31.657667
ChIJEbWd2WxclmsRmLnGQJBUzkQ,REMAX Success,"111 Herries St, East Toowoomba QLD 4350, Australia",(07) 4638 6100,https://remaxsuccess.com.au/,,Real Estate Agency,4.7,1416,-27.5654042,151.9582504,2026-02-13T22:48:32.019889
ChIJ70OIrJVdlmsRH8rDrW9kzEA,Ray White Toowoomba,"Tenancy 4/580-588 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4688 4488,https://raywhitetoowoomba.com/,,Real Estate Agency,4.6,396,-27.5646611,151.9532952,2026-02-13T22:48:32.860405
ChIJ3bAfQMpdlmsRKYf6EQEjE54,LEGACIES Property Buyers Agent,"141 Nelson St, Kearneys Spring QLD 4350, Australia",0432 144 420,https://buyersbutler.com.au/zhongxiang/,,Real Estate Agency,5,45,-27.6117075,151.9480548,2026-02-13T22:48:33.283792
ChIJhRoIVaddlmsRS3lfk8P0ja8,RealWay Property Partners,"295 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4638 4400,https://toowoomba.realway.com.au/,,Point Of Interest,4.7,387,-27.557105,151.95364,2026-02-13T22:48:33.732748
ChIJ63PChmtclmsRRRBzaLespzg,Abra Agencies,"1/227 West St, Harristown QLD 4350, Australia",(07) 4688 9700,https://abraagencies.com.au/,,Real Estate Agency,4.6,37,-27.5737066,151.9407065,2026-02-13T22:48:34.541397
ChIJn_JCJKNdlmsRBdjEC3iuM1A,Jane & Henry Pty Ltd,"18 Harvey St, Mount Lofty QLD 4350, Australia",(07) 4600 1210,http://www.janeandhenry.com/,,Real Estate Agency,5,67,-27.5428502,151.9781434,2026-02-13T22:48:34.965740
ChIJA6GVD1aAEUcRs612xiMhUdg,Murphy McKellar + Co,"17 Campbell St, East Toowoomba QLD 4350, Australia",(07) 4542 7860,http://www.mmco.au/,,Real Estate Agency,5,86,-27.5575757,151.9715565,2026-02-13T22:48:35.390958
ChIJBWyV0OtdlmsRy66IQcVPzkU,Wagner/De Silva - Toowoomba Real Estate Agents,"111 Herries St, East Toowoomba QLD 4350, Australia",0421 875 477,https://wagnerdesilva.com.au/,,Point Of Interest,5,1,-27.5652843,151.958292,2026-02-13T22:48:35.748858
ChIJ_5tpKMldlmsRFqZzJsn-0xU,Andrew Lynch - Toowoomba Property,"611 Ruthven St, Toowoomba City QLD 4350, Australia",0418 795 792,http://www.toowoombaproperty.au/pages/real-estate/agent/24354/andrew-lynch,,Point Of Interest,5,6,-27.5672655,151.9520488,2026-02-13T22:48:36.557090
ChIJAQAAAMBElmsRMLsoJOKA6Iw,Toowoomba City Realty,"1/111 Campbell St, Toowoomba City QLD 4350, Australia",(07) 4632 8899,http://toowoombacityrealty.com.au/,,Real Estate Agency,3.9,69,-27.5555987,151.9561688,2026-02-13T22:48:37.422254
ChIJO7K5M3lclmsRaoyGFUZKCWM,York Realty,"346 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4613 6777,http://www.yorkrealty.com.au/,,Real Estate Agency,4.4,72,-27.55826,151.954018,2026-02-13T22:48:39.686658
ChIJncYaYU-z72IRkZsTqDBQte8,Jenkins Real Estate,"561 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4588 8849,http://www.jenkinsrealestate.com.au/,,Real Estate Agency,5,13,-27.5653324,151.9523323,2026-02-13T22:48:40.065948
ChIJFdvas2tclmsRao-OTfhCf2o,iThink Property Toowoomba Real Estate Agents,"482-486 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4602 0111,http://ithinkproperty.com.au/,,Real Estate Agency,4.4,150,-27.5622671,151.9533267,2026-02-13T22:48:40.932993
