place_id,name,address,phone,website,email,category,rating,review_count,latitude,longitude,scraped_at
ChIJwaL8rdBvlmsRX7y3XNj8Dj8,Pioneer ARMS Hotel,"60 Mocatta St, Goombungee QLD 4354, Australia",(07) 4696 5239,https://www.facebook.com/share/1EJS5rJjSf/,,Restaurant,4.4,169,-27.3058333,151.8519444,2026-02-07T22:54:37.122925
ChIJlcDlFOVdlmsR3ZMTACtT2m4,Zack's,"554 Ruthven St, Toowoomba City QLD 4350, Australia",(07) 4632 2433,https://burkeandwillshotel.com.au/zacks/,,Bar,4.4,524,-27.5640604,151.9530051,2026-02-07T22:54:39.963997
ChIJr2JxJuhdlmsRJTXg0DH6k0g,Char House Restaurant,"Shop 1/224 Ruthven St, North Toowoomba QLD 4350, Australia",(07) 4637 1010,http://www.charhouse.com.au/,,Restaurant,4.4,563,-27.5503557,151.9554562,2026-02-07T22:54:40.351867
ChIJPWvEJpBblmsRZNQJ71OLZgI,Fire & Ice,"839 Ruthven St, Kearneys Spring QLD 4350, Australia",1800 008 269,,,Restaurant,4.2,395,-27.5909826,151.9478215,2026-02-07T22:54:48.351241
ChIJyxaXZW73vWsRlenKOD5Fmwg,The Cri Steakhouse,"Fairway Motor Inn, 32 Myall St, Dalby QLD 4405, Australia",,,,Restaurant,,,-27.186276,151.2662526,2026-02-07T22:54:49.157571
